classifier,n_coeffs,cheb_mean,leg_mean,diff_mean,p_value,significant,p_adjusted,significant_adj
RandomForest,5,0.728082690932096,0.7689233528296471,-0.04084066189755127,0.001953125,True,0.078125,False
RandomForest,10,0.7291452525818654,0.7740151682647655,-0.044869915682900254,0.001953125,True,0.078125,False
RandomForest,15,0.70082767781378,0.7755577825433786,-0.07473010472959866,0.001953125,True,0.078125,False
RandomForest,20,0.6953972054742755,0.7758421183939377,-0.08044491291966221,0.001953125,True,0.078125,False
RandomForest,25,0.6899235432462414,0.7681626492455333,-0.07823910599929193,0.001953125,True,0.078125,False
RandomForest,30,0.6830949478175758,0.7628255018665246,-0.07973055404894863,0.001953125,True,0.078125,False
RandomForest,35,0.6865274940697538,0.7588838973239608,-0.07235640325420695,0.001953125,True,0.078125,False
RandomForest,40,0.6830453079599884,0.7510167297419578,-0.06797142178196938,0.001953125,True,0.078125,False
RandomForest,45,0.6797582084936453,0.7418361974375853,-0.062077988943939975,0.001953125,True,0.078125,False
RandomForest,50,0.6828155663223642,0.7248776947619671,-0.042062128439602865,0.001953125,True,0.078125,False
LogisticRegression,5,0.807146775973402,0.8106119165016921,-0.0034651405282902226,0.037109375,True,0.630859375,False
LogisticRegression,10,0.821495720841597,0.8181842897349201,0.0033114311066768654,0.083984375,False,1.0,False
LogisticRegression,15,0.8102465276574338,0.8129781415836487,-0.002731613926214993,0.275390625,False,1.0,False
LogisticRegression,20,0.8063039768413619,0.8141475468591256,-0.007843570017763668,0.005859375,True,0.1171875,False
LogisticRegression,25,0.8088893413880209,0.8135984044884397,-0.0047090631004187864,0.130859375,False,1.0,False
LogisticRegression,30,0.813261563222081,0.8158629162743825,-0.0026013530523016025,0.431640625,False,1.0,False
LogisticRegression,35,0.8114805859865335,0.8149754349182363,-0.003494848931702843,0.375,False,1.0,False
LogisticRegression,40,0.8093458462619075,0.8114047351005823,-0.0020588888386744997,0.556640625,False,1.0,False
LogisticRegression,45,0.8028965492111236,0.8081060363145115,-0.0052094871033878335,0.01953125,True,0.3515625,False
LogisticRegression,50,0.8043085628193886,0.8037099264194156,0.0005986363999730182,0.322265625,False,1.0,False
XGBoost,5,0.7505291033658762,0.782741198961505,-0.03221209559562871,0.001953125,True,0.078125,False
XGBoost,10,0.7542676637625735,0.7864740072644257,-0.032206343501852176,0.001953125,True,0.078125,False
XGBoost,15,0.7431031226256891,0.7856389300519487,-0.04253580742625962,0.001953125,True,0.078125,False
XGBoost,20,0.7288561785660492,0.7878165252497025,-0.058960346683653075,0.001953125,True,0.078125,False
XGBoost,25,0.7237044257974684,0.775010724781242,-0.05130629898377358,0.001953125,True,0.078125,False
XGBoost,30,0.7206212547725235,0.7751571858747511,-0.05453593110222767,0.001953125,True,0.078125,False
XGBoost,35,0.7244923510367176,0.7723188118868689,-0.04782646085015126,0.001953125,True,0.078125,False
XGBoost,40,0.7230344929548795,0.7720295865220329,-0.04899509356715341,0.001953125,True,0.078125,False
XGBoost,45,0.7222193078797116,0.7589387275564763,-0.036719419676764696,0.001953125,True,0.078125,False
XGBoost,50,0.7249356168639502,0.7570692780025507,-0.03213366113860033,0.001953125,True,0.078125,False
SVM_RBF,5,0.8111994645158912,0.8098645827166913,0.001334881799200127,0.6953125,False,1.0,False
SVM_RBF,10,0.7960085460415882,0.7984714752832915,-0.002462929241703182,0.431640625,False,1.0,False
SVM_RBF,15,0.786643054322439,0.7949110924666111,-0.008268038144172252,0.083984375,False,1.0,False
SVM_RBF,20,0.7810016149303798,0.7915647758903551,-0.010563160959975271,0.009765625,True,0.185546875,False
SVM_RBF,25,0.7802890279142336,0.7906298642906795,-0.010340836376446106,0.083984375,False,1.0,False
SVM_RBF,30,0.7772973259040435,0.7858946566755423,-0.008597330771498657,0.10546875,False,1.0,False
SVM_RBF,35,0.7795237149601986,0.7777773578064451,0.001746357153753464,0.556640625,False,1.0,False
SVM_RBF,40,0.7794230539158624,0.7671458488408527,0.0122772050750098,0.130859375,False,1.0,False
SVM_RBF,45,0.7758229714678248,0.7698587676497897,0.005964203818035097,0.556640625,False,1.0,False
SVM_RBF,50,0.7839833799787084,0.769883498953839,0.014099881024869343,0.193359375,False,1.0,False
